Region	Population	Color	Point
Africa	Mbuti.SDG	black	1
Africa	Yoruba.SDG	black	2
AMBA_Modern	AMBA-Luisi	lightblue	3
Bariloche_Modern	Bariloche-Luisi	skyblue3	1
Brazil_EH	Brazil_LapaDoSanto_9600BP	palegreen1	21
Brazil_MH	Brazil_Laranjal_6700BP	palegreen1	24
Brazil_MH	Brazil_Moraes_5800BP	palegreen1	25
BsAs_Modern	BahiaBlanca-Luisi	lightblue	4
BsAs_Modern	LaPlata-Luisi	lightblue	6
Catamarca_Modern	Catamarca-Luisi	saddlebrown	1
CentralAndes_EH	Peru_Cuncaicha_9000BP	darkorange4	21
CentralAndes_EH	Peru_Lauricocha_8600BP	darkorange4	22
CentralAndes_MH	Peru_Cuncaicha_4200BP	orange4	21
CentralAndes_MH	Peru_LaGalgada_4100BP	orange4	22
CentralAndes_MH	Peru_Lauricocha_5800BP	orange4	24
CentralChile_MH	LosRieles_5100BP	brown1	23
CentralChile_Modern	Huilliche-delaFuente	brown1	2
CentralChile_Modern	Pehuenche-delaFuente	brown1	4
Chubut_Modern	PuertoMadryn-Luisi	steelblue	1
Chubut_Modern	Trelew-Luisi	steelblue	2
Cordoba_Modern	Cordoba-Luisi	yellowgreen	1
Cordoba_Modern	RioCuarto-Luisi	yellowgreen	3
Corrientes_Modern	Corrientes-Luisi	darkorange	1
EntreRios_Modern	LaPaz-Luisi	darkorange	2
Europe	French.SDG	grey	3
Formosa_Modern	Formosa-Luisi	darkorange	4
Jujuy_Modern	SanSalvJujuy-Luisi	saddlebrown	2
LaRioja_Modern	Chepes-Luisi	saddlebrown	3
Misiones_Modern	Posadas-Luisi	darkorange	5
Pampa_MH	ArroyoSeco2_7700BP	darkolivegreen	22
Pampa_MH	LagunaChica_6800BP	darkolivegreen	23
Salta_Modern	Salta-Luisi	saddlebrown	4
SanJuan_Modern	Calingasta-Luisi	yellow3	1
SanLuis_Modern	StaRosaConlara-Luisi	yellowgreen	4
SanLuis_Modern	Tilisarao-Luisi	yellowgreen	5
SouthPatagonia_LH	BeagleChannel_Yamana_100BP	skyblue1	21
SouthPatagonia_LH	BeagleChannel_Yamana_1500BP	skyblue1	22
SouthPatagonia_LH	MitrePeninsula_Haush_400BP	cadetblue4	21
SouthPatagonia_LH	NTDF_Selknam_100BP	cadetblue2	21
SouthPatagonia_LH	NTDF_Selknam_500BP	cadetblue2	22
SouthPatagonia_LH	WestArchipelago_Kaweskar_1200BP	lightblue1	21
SouthPatagonia_LH	WestArchipelago_Kaweskar_800BP	lightblue1	22
SouthPatagonia_LH	Yamana_BeagleChannel_800BP	skyblue1	23
SouthPatagonia_MH	NTDF_LaArcillosa2_5800BP	blue2	21
SouthPatagonia_MH	WestArchipelago_Ayayema_5100BP	blue2	22
SouthPatagonia_MH	PuntaSantaAna_7300BP	blue2	23
SouthPatagonia_Modern	Kaweskar-delaFuente	brown1	7
SouthPatagonia_Modern	Yamana-Reich-delaFuente	brown1	8
TierraDelFuego_Modern	RioGrande-Luisi	darkorange2	10
Tucuman_Modern	SanMigTucuman-Luisi	saddlebrown	4
